feature,coefficient,abs_coefficient
cat__cert_validation_level_ov,-1.612673092384442,1.612673092384442
num__num_distinct_ports,1.5581327228778443,1.5581327228778443
cat__http_any_status_class_2xx,1.3378234149716768,1.3378234149716768
cat__web_server_other,-1.1925933048354536,1.1925933048354536
num__cert_age_days,0.9091540521403918,0.9091540521403918
cat__web_server_nginx,0.8886501059152647,0.8886501059152647
num__cert_remaining_days,-0.8014682198997056,0.8014682198997056
num__cert_chain_len,-0.7920803348186347,0.7920803348186347
num__whois_network_age_days,-0.7486289892679148,0.7486289892679148
cat__cert_validation_level_dv,0.719117712828333,0.719117712828333
num__http_any_is_html,-0.6746453151527918,0.6746453151527918
cat__web_server_cloudflare,-0.6610934128833279,0.6610934128833279
num__dns_has_suspicious_tokens,0.37886746752382683,0.37886746752382683
num__http_any_supports_http2,-0.22812853987332235,0.22812853987332235
num__http_any_redirect_like,-0.18545436981056856,0.18545436981056856
num__has_reverse_dns,0.18405738199403648,0.18405738199403648
num__cert_is_letsencrypt,0.16828302392159888,0.16828302392159888
num__has_443,-0.16603822588714073,0.16603822588714073
num__provider_is_hosting,-0.12553185502592015,0.12553185502592015
num__has_80,0.09434867061242912,0.09434867061242912
num__http_any_body_size,0.02641565541244115,0.02641565541244115
num__http_root_any_present,0.02150894039478261,0.02150894039478261
cat__web_server_iis,0.0,0.0
cat__continent_South America,0.0,0.0
cat__continent_Asia,0.0,0.0
cat__continent_Europe,0.0,0.0
cat__continent_North America,0.0,0.0
cat__http_any_status_class_0,0.0,0.0
cat__web_server_unknown,0.0,0.0
cat__web_server_apache,0.0,0.0
cat__http_any_status_class_3xx,0.0,0.0
cat__http_any_status_class_5xx,0.0,0.0
cat__http_any_status_class_4xx,0.0,0.0
cat__cert_validation_level_ev,0.0,0.0
cat__cert_validation_level_none,0.0,0.0
num__https_only,0.0,0.0
cat__cert_validation_level_unknown,0.0,0.0
num__bgp_prefix_len,0.0,0.0
num__http_any_meta_refresh,0.0,0.0
num__cert_lifetime_days,0.0,0.0
num__cert_san_count,0.0,0.0
num__cert_is_wildcard,0.0,0.0
num__num_dns_names_capped,0.0,0.0
